apiName, string_
removalOrderId, string_
trackingNumber, string_, Alphanumeric; hyphen and underscore; max length 50
deliverDateStr, string_
shipmentStatusCode, string_
weight, decimal_
weightUom, string_
dimension1, decimal_
dimension2, decimal_
dimension3, decimal_
dimensionUom, string_
stockAge, double_
fbaInventoryId, string_,Max Length 35
apiId, string_,Max Length 35
fbaRemovalOrderId, string_,Max Length 35
fbaRemovalShipmentId, string_,Max Length 35
fnsku, string_
quantity, integer_
availableQuantity, integer_
modifyOn, DateTime_
modifyBy, string_
modifyOnStr, string_
createOn, DateTime_
createBy, string_
createOnStr, string_