"returnInventoryId", string_,"Max Length 35"
"warehouseId", string_,"Max Length 35"
"returnRequestLineItemId", string_,"Max Length 35"
"returnRequestId", string_,"Max Length 35"
"sellerReferenceNumber", string_
"rma", string_,
"description", string_, ""
"weight", decimal_, ""
"weightUom", string_, ""
"valueCurrencyCode", string_, ""
"value", decimal_, ""
"handlingCode", string_, ""
"handlingStatusCode", string_, ""
"returnRequestLineItemImages", List of :ref:`structure-ReturnRequestLineItemImagePayload`, ""
"returnRequestLineItemVasList", List of :ref:`structure-ReturnRequestLineItemVasPayload`, ""
"warehouseRemarks", string_, ""
"handlingUpdatedOnStr", string_, ""
"sku", string_, ""